task,version,threads,chunk,trial,time_ms,average_ms,minimum_ms,speedup,efficiency
1,BLAS,1,20000000,1,45.305817,51.915429,38.866209,1.125605,1.125605
1,BLAS,1,20000000,2,41.191931,51.915429,38.866209,1.125605,1.125605
1,BLAS,1,20000000,3,40.153442,51.915429,38.866209,1.125605,1.125605
1,BLAS,1,20000000,4,94.059748,51.915429,38.866209,1.125605,1.125605
1,BLAS,1,20000000,5,38.866209,51.915429,38.866209,1.125605,1.125605
1,V1,1,20000000,1,45.014600,58.436281,45.014600,1.000000,1.000000
1,V1,1,20000000,2,51.117509,58.436281,45.014600,1.000000,1.000000
1,V1,1,20000000,3,79.327197,58.436281,45.014600,1.000000,1.000000
1,V1,1,20000000,4,63.625115,58.436281,45.014600,1.000000,1.000000
1,V1,1,20000000,5,53.096983,58.436281,45.014600,1.000000,1.000000
1,V2,1,20000000,1,47.735566,51.800161,47.735566,1.128110,1.128110
1,V2,1,20000000,2,53.215006,51.800161,47.735566,1.128110,1.128110
1,V2,1,20000000,3,52.064509,51.800161,47.735566,1.128110,1.128110
1,V2,1,20000000,4,55.581496,51.800161,47.735566,1.128110,1.128110
1,V2,1,20000000,5,50.404226,51.800161,47.735566,1.128110,1.128110
1,V2,2,10000000,1,47.728093,58.398998,47.728093,1.000638,0.500319
1,V2,2,10000000,2,65.988104,58.398998,47.728093,1.000638,0.500319
1,V2,2,10000000,3,54.874761,58.398998,47.728093,1.000638,0.500319
1,V2,2,10000000,4,52.276444,58.398998,47.728093,1.000638,0.500319
1,V2,2,10000000,5,71.127588,58.398998,47.728093,1.000638,0.500319
1,V2,4,5000000,1,47.251299,53.600425,46.629954,1.090220,0.272555
1,V2,4,5000000,2,46.629954,53.600425,46.629954,1.090220,0.272555
1,V2,4,5000000,3,68.611779,53.600425,46.629954,1.090220,0.272555
1,V2,4,5000000,4,48.624601,53.600425,46.629954,1.090220,0.272555
1,V2,4,5000000,5,56.884491,53.600425,46.629954,1.090220,0.272555
1,V2,8,2500000,1,54.076003,49.560763,43.627940,1.179084,0.147385
1,V2,8,2500000,2,49.779217,49.560763,43.627940,1.179084,0.147385
1,V2,8,2500000,3,48.484589,49.560763,43.627940,1.179084,0.147385
1,V2,8,2500000,4,51.836066,49.560763,43.627940,1.179084,0.147385
1,V2,8,2500000,5,43.627940,49.560763,43.627940,1.179084,0.147385
1,V3,1,20000000,1,58.401903,58.013347,48.914425,1.007290,1.007290
1,V3,1,20000000,2,63.120045,58.013347,48.914425,1.007290,1.007290
1,V3,1,20000000,3,54.469508,58.013347,48.914425,1.007290,1.007290
1,V3,1,20000000,4,48.914425,58.013347,48.914425,1.007290,1.007290
1,V3,1,20000000,5,65.160854,58.013347,48.914425,1.007290,1.007290
1,V3,2,10000000,1,45.044532,58.694201,45.044532,0.995606,0.497803
1,V3,2,10000000,2,63.615896,58.694201,45.044532,0.995606,0.497803
1,V3,2,10000000,3,59.969667,58.694201,45.044532,0.995606,0.497803
1,V3,2,10000000,4,64.513987,58.694201,45.044532,0.995606,0.497803
1,V3,2,10000000,5,60.326922,58.694201,45.044532,0.995606,0.497803
1,V3,4,5000000,1,56.923105,47.504116,41.050029,1.230131,0.307533
1,V3,4,5000000,2,53.636334,47.504116,41.050029,1.230131,0.307533
1,V3,4,5000000,3,41.050029,47.504116,41.050029,1.230131,0.307533
1,V3,4,5000000,4,41.279999,47.504116,41.050029,1.230131,0.307533
1,V3,4,5000000,5,44.631112,47.504116,41.050029,1.230131,0.307533
1,V3,8,2500000,1,59.730214,59.873383,56.300913,0.975998,0.122000
1,V3,8,2500000,2,62.054463,59.873383,56.300913,0.975998,0.122000
1,V3,8,2500000,3,56.300913,59.873383,56.300913,0.975998,0.122000
1,V3,8,2500000,4,58.414385,59.873383,56.300913,0.975998,0.122000
1,V3,8,2500000,5,62.866940,59.873383,56.300913,0.975998,0.122000
2,BLAS,1,1600,1,1.193940,1.798776,1.183108,1.783739,1.783739
